"shapeid","GEOID10","NAME10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"30","0626910","New Haven Unified School District","73698986.0","11932926.0","+37.5942745","-122.0601224","74171","5103","4871","4888","5205","4941","5408","5460","5439","5387","5318","5228","4747","4050","2621","1996","1379","1056","1074","36646","2665","2535","2575","2739","2549","2685","2684","2661","2693","2591","2558","2230","1925","1262","938","581","386","389","37525","2438","2336","2313","2466","2392","2723","2776","2778","2694","2727","2670","2517","2125","1359","1058","798","670","685","36.1","34.8","37.3","58202","28309","29893","56083","27195","28888","53138","25626","27512","10453","4644","5809","8126","3556","4570","74171","69208","18609","4760","367","35952","8032","7718","14272","398","656","2605","2271","927","107","97","147","576","8593","4963","218","1823","330","685","22151","5619","927","39144","1639","10117","74171","18301","14644","692","61","2904","55870","74171","18301","7484","229","240","324","55","8443","1526","55870","11125","4531","127","35628","872","150","3437","74171","73627","21730","13482","23911","15027","10393","2708","2303","4111","326","269","1076","544","96","34","62","448","178","270","21730","17712","8342","13482","6637","1269","432","2961","1273","4018","2931","1257","294","1674","794","9656","5801","3.39","3.7","22599","21730","869","396","12","227","40","42","152","1.5","5.2","21730","14553","7177","49635","23992","3.41","3.34","0.730029541","0.00873636785"
"31","0616740","Hayward Unified School District","83910691.0","20933417.0","+37.6374577","-122.1021131","165923","12280","11118","10506","11367","13001","14178","13092","11862","11244","11502","11025","9710","7706","5170","3809","3026","2570","2757","81786","6261","5607","5365","5703","6673","7210","6629","5993","5753","5672","5350","4698","3663","2426","1637","1222","999","925","84137","6019","5511","5141","5664","6328","6968","6463","5869","5491","5830","5675","5012","4043","2744","2172","1804","1571","1832","33.9","32.9","35.0","129961","63470","66491","125609","61290","64319","118015","57522","60493","21737","9319","12418","17332","7209","10123","165923","154008","59624","20778","1628","33896","4435","6207","15871","860","765","3593","2165","4942","295","293","764","3590","33140","11915","752","2325","1021","2721","67847","23654","3525","39173","7329","37626","165923","65733","48770","2556","271","14136","100190","165923","65733","24774","961","1040","660","287","32749","5262","100190","34850","19817","588","33236","4655","391","6653","165923","162626","53318","24957","50059","33245","20921","6120","3085","13371","860","517","4181","3297","1117","437","680","2180","1005","1175","53318","37676","17978","24957","12054","3897","1602","8822","4322","15642","11456","5097","1209","6359","2717","21000","12553","3.05","3.55","56790","53318","3472","1803","76","622","168","118","685","2.2","6.6","53318","27682","25636","84814","77812","3.06","3.04","0.69431341732","0.01070249438"
"32","0614400","Fremont Unified School District","200392725.0","26291598.0","+37.4943734","-121.9411173","214089","15261","15305","14182","13031","11047","14393","17174","18413","16964","17618","16110","12774","10008","6761","5333","4060","2879","2776","106441","7868","7796","7330","6938","5833","6842","8222","9365","8637","8835","8180","6291","4848","3167","2345","1830","1156","958","107648","7393","7509","6852","6093","5214","7551","8952","9048","8327","8783","7930","6483","5160","3594","2988","2230","1723","1818","36.8","36.3","37.3","166637","81977","84660","160873","78965","81908","154204","75359","78845","27436","12165","15271","21809","9456","12353","214089","201505","70320","7103","976","108332","38711","38118","14285","1716","3059","5249","7194","1169","195","238","166","570","13605","12584","766","5626","758","1559","80195","8842","2463","116755","2514","16895","214089","31698","23600","1241","165","6692","182391","214089","31698","13554","360","518","653","105","13217","3291","182391","56766","6743","458","107679","1064","388","9293","214089","212438","71004","45121","66677","48567","19463","4004","5500","10173","584","474","3223","1651","682","272","410","969","475","494","71004","55573","28873","45121","24388","3382","1268","7070","3217","15431","11576","5279","1002","6297","2695","31070","15514","2.99","3.36","73989","71004","2985","1250","73","587","195","233","647","1.3","4.5","71004","44463","26541","136606","75832","3.07","2.86","1.15887527955","0.02310538994"
"32.ring1","0614400","Fremont Unified School District","200392725.0","26291598.0","+37.4943734","-121.9411173","214089","15261","15305","14182","13031","11047","14393","17174","18413","16964","17618","16110","12774","10008","6761","5333","4060","2879","2776","106441","7868","7796","7330","6938","5833","6842","8222","9365","8637","8835","8180","6291","4848","3167","2345","1830","1156","958","107648","7393","7509","6852","6093","5214","7551","8952","9048","8327","8783","7930","6483","5160","3594","2988","2230","1723","1818","36.8","36.3","37.3","166637","81977","84660","160873","78965","81908","154204","75359","78845","27436","12165","15271","21809","9456","12353","214089","201505","70320","7103","976","108332","38711","38118","14285","1716","3059","5249","7194","1169","195","238","166","570","13605","12584","766","5626","758","1559","80195","8842","2463","116755","2514","16895","214089","31698","23600","1241","165","6692","182391","214089","31698","13554","360","518","653","105","13217","3291","182391","56766","6743","458","107679","1064","388","9293","214089","212438","71004","45121","66677","48567","19463","4004","5500","10173","584","474","3223","1651","682","272","410","969","475","494","71004","55573","28873","45121","24388","3382","1268","7070","3217","15431","11576","5279","1002","6297","2695","31070","15514","2.99","3.36","73989","71004","2985","1250","73","587","195","233","647","1.3","4.5","71004","44463","26541","136606","75832","3.07","2.86","1.15887527955","0.02310538994"
"33","0612630","Emery Unified School District","3227550.0","1979141.0","+37.8388747","-122.2978564","10080","424","252","234","281","904","1503","1434","1038","700","657","609","540","498","351","263","181","111","100","4983","225","108","100","135","490","736","720","539","374","340","300","249","220","154","134","79","49","31","5097","199","144","134","146","414","767","714","499","326","317","309","291","278","197","129","102","62","69","35.0","34.8","35.2","9139","4533","4606","9049","4498","4551","8771","4347","4424","1294","572","722","1006","447","559","10080","9437","4490","1764","44","2775","424","967","399","159","415","120","291","16","6","4","1","5","348","643","36","231","98","35","4960","2011","174","3144","58","450","10080","927","554","66","23","284","9153","10080","927","433","31","25","19","0","304","115","9153","4057","1733","19","2756","16","44","528","10080","10007","5694","1240","1240","908","470","97","62","1363","23","20","600","73","0","0","0","73","41","32","5694","1835","615","1240","355","160","56","435","204","3859","2871","1390","204","1481","326","692","866","1.76","2.61","6646","5694","952","421","26","207","17","89","192","9.3","10.2","5694","2013","3681","3365","6642","1.67","1.8","0.13022858788","0.00053292275"
"34","0607800","Castro Valley Unified School District","177006696.0","4447096.0","+37.7198152","-122.0463410","49397","2553","3118","3607","3737","2398","2129","2518","3100","3691","4353","4531","3870","3080","1909","1458","1189","1017","1139","23982","1367","1579","1794","1998","1250","1052","1136","1413","1734","2112","2236","1901","1503","937","671","512","406","381","25415","1186","1539","1813","1739","1148","1077","1382","1687","1957","2241","2295","1969","1577","972","787","677","611","758","42.1","41.1","43.0","39304","18799","20505","37619","17898","19721","35861","16968","18893","8454","3748","4706","6712","2907","3805","49397","46351","29534","2381","253","11670","971","6386","1592","461","892","560","808","289","41","33","23","192","2224","3046","356","1163","333","399","32180","3026","849","13286","616","2837","49397","7377","4656","455","65","2201","42020","49397","7377","3913","144","122","139","27","2095","937","42020","25621","2237","131","11531","262","129","2109","49397","48690","17777","10385","15308","10724","2968","664","786","2252","146","157","948","707","498","284","214","209","100","109","17777","13297","6191","10385","4772","860","408","2052","1011","4480","3540","1442","433","2098","1078","6628","4764","2.74","3.16","18523","17777","746","227","12","172","56","55","224","1.3","4.7","17777","13158","4619","36367","12323","2.76","2.67","1.01563560385","0.01854384453"
"35","0604740","Berkeley Unified School District","27108573.0","18715587.0","+37.8667016","-122.2990661","112517","4131","3792","3609","11795","20824","10296","7390","6415","6103","6113","6134","6408","6338","4581","2890","2043","1683","1972","55002","2186","1955","1828","5456","10423","5434","3738","3200","3094","2981","2971","3064","2991","2131","1348","904","644","654","57515","1945","1837","1781","6339","10401","4862","3652","3215","3009","3132","3163","3344","3347","2450","1542","1139","1039","1318","31.0","30.2","32.0","100204","48638","51566","98654","47855","50799","83453","40898","42555","16865","7421","9444","13169","5681","7488","112517","105529","66981","11208","479","21690","2712","9641","1640","1752","2392","1110","2443","186","30","30","43","83","4985","6988","570","3098","958","533","72930","13280","1834","25706","577","6050","112517","12198","7672","519","248","3759","100319","112517","12198","5456","345","251","191","16","4482","1457","100319","61525","10863","228","21499","170","503","5531","112517","99668","46003","13563","16709","12532","3781","985","578","19612","214","494","3890","12849","419","174","245","12430","6357","6073","46003","18780","7782","13563","5431","1367","544","3850","1807","27223","16893","7836","1532","9057","3044","8462","10193","2.17","2.81","49426","46003","3423","1272","130","194","112","387","1328","1.0","4.5","46003","18835","27168","45061","54607","2.39","2.01","0.38494523309","0.00469194855"
"36.0","0635430","Santa Clara Unified School District","100750761.0","3805612.0","+37.4016881","-121.9733927","143808","11228","8371","6669","7879","10248","13601","15513","13020","10373","9780","9162","7437","6052","4206","3381","2623","2163","2102","72459","5743","4277","3435","4013","5298","6633","8134","7074","5497","5098","4633","3603","2833","1928","1530","1098","869","763","71349","5485","4094","3234","3866","4950","6968","7379","5946","4876","4682","4529","3834","3219","2278","1851","1525","1294","1339","34.5","34.2","34.8","116249","58345","57904","113648","57006","56642","107477","53850","53627","17896","7793","10103","14475","6188","8287","143808","136246","63738","4060","773","54626","19935","11075","8450","2306","3931","5575","3354","742","106","123","169","344","12307","7562","526","2807","590","1345","69729","5290","1793","59056","1455","14705","143808","28310","21548","583","238","5941","115498","143808","28310","12790","280","454","428","62","11867","2429","115498","50948","3780","319","54198","680","440","5133","143808","140611","54083","27285","36856","27084","11213","2675","2116","11174","344","401","3097","3197","339","161","178","2858","1344","1514","54083","35018","16361","27285","13287","2558","915","5175","2159","19065","13965","7019","1095","6946","2522","17751","10751","2.6","3.15","56770","54083","2687","1398","62","346","82","235","564","1.3","4.7","54083","25515","28568","68082","72529","2.67","2.54","1.01283575824","0.01063993109"
"36.1","0635430","Santa Clara Unified School District","100750761.0","3805612.0","+37.4016881","-121.9733927","143808","11228","8371","6669","7879","10248","13601","15513","13020","10373","9780","9162","7437","6052","4206","3381","2623","2163","2102","72459","5743","4277","3435","4013","5298","6633","8134","7074","5497","5098","4633","3603","2833","1928","1530","1098","869","763","71349","5485","4094","3234","3866","4950","6968","7379","5946","4876","4682","4529","3834","3219","2278","1851","1525","1294","1339","34.5","34.2","34.8","116249","58345","57904","113648","57006","56642","107477","53850","53627","17896","7793","10103","14475","6188","8287","143808","136246","63738","4060","773","54626","19935","11075","8450","2306","3931","5575","3354","742","106","123","169","344","12307","7562","526","2807","590","1345","69729","5290","1793","59056","1455","14705","143808","28310","21548","583","238","5941","115498","143808","28310","12790","280","454","428","62","11867","2429","115498","50948","3780","319","54198","680","440","5133","143808","140611","54083","27285","36856","27084","11213","2675","2116","11174","344","401","3097","3197","339","161","178","2858","1344","1514","54083","35018","16361","27285","13287","2558","915","5175","2159","19065","13965","7019","1095","6946","2522","17751","10751","2.6","3.15","56770","54083","2687","1398","62","346","82","235","564","1.3","4.7","54083","25515","28568","68082","72529","2.67","2.54","1.01283575824","0.01063993109"
"36.2","0635430","Santa Clara Unified School District","100750761.0","3805612.0","+37.4016881","-121.9733927","143808","11228","8371","6669","7879","10248","13601","15513","13020","10373","9780","9162","7437","6052","4206","3381","2623","2163","2102","72459","5743","4277","3435","4013","5298","6633","8134","7074","5497","5098","4633","3603","2833","1928","1530","1098","869","763","71349","5485","4094","3234","3866","4950","6968","7379","5946","4876","4682","4529","3834","3219","2278","1851","1525","1294","1339","34.5","34.2","34.8","116249","58345","57904","113648","57006","56642","107477","53850","53627","17896","7793","10103","14475","6188","8287","143808","136246","63738","4060","773","54626","19935","11075","8450","2306","3931","5575","3354","742","106","123","169","344","12307","7562","526","2807","590","1345","69729","5290","1793","59056","1455","14705","143808","28310","21548","583","238","5941","115498","143808","28310","12790","280","454","428","62","11867","2429","115498","50948","3780","319","54198","680","440","5133","143808","140611","54083","27285","36856","27084","11213","2675","2116","11174","344","401","3097","3197","339","161","178","2858","1344","1514","54083","35018","16361","27285","13287","2558","915","5175","2159","19065","13965","7019","1095","6946","2522","17751","10751","2.6","3.15","56770","54083","2687","1398","62","346","82","235","564","1.3","4.7","54083","25515","28568","68082","72529","2.67","2.54","1.01283575824","0.01063993109"
"36.3","0635430","Santa Clara Unified School District","100750761.0","3805612.0","+37.4016881","-121.9733927","143808","11228","8371","6669","7879","10248","13601","15513","13020","10373","9780","9162","7437","6052","4206","3381","2623","2163","2102","72459","5743","4277","3435","4013","5298","6633","8134","7074","5497","5098","4633","3603","2833","1928","1530","1098","869","763","71349","5485","4094","3234","3866","4950","6968","7379","5946","4876","4682","4529","3834","3219","2278","1851","1525","1294","1339","34.5","34.2","34.8","116249","58345","57904","113648","57006","56642","107477","53850","53627","17896","7793","10103","14475","6188","8287","143808","136246","63738","4060","773","54626","19935","11075","8450","2306","3931","5575","3354","742","106","123","169","344","12307","7562","526","2807","590","1345","69729","5290","1793","59056","1455","14705","143808","28310","21548","583","238","5941","115498","143808","28310","12790","280","454","428","62","11867","2429","115498","50948","3780","319","54198","680","440","5133","143808","140611","54083","27285","36856","27084","11213","2675","2116","11174","344","401","3097","3197","339","161","178","2858","1344","1514","54083","35018","16361","27285","13287","2558","915","5175","2159","19065","13965","7019","1095","6946","2522","17751","10751","2.6","3.15","56770","54083","2687","1398","62","346","82","235","564","1.3","4.7","54083","25515","28568","68082","72529","2.67","2.54","1.01283575824","0.01063993109"
"37","0601860","Albany City Unified School District","4634414.0","9523710.0","+37.8886213","-122.3256618","18549","1410","1326","1207","959","736","1276","1684","1675","1523","1394","1243","1180","1087","614","357","326","245","307","8826","715","656","627","502","365","607","799","823","703","667","552","531","492","273","172","134","88","120","9723","695","670","580","457","371","669","885","852","820","727","691","649","595","341","185","192","157","187","37.0","35.8","38.2","14358","6690","7668","13917","6473","7444","13529","6265","7264","2438","1053","1385","1849","787","1062","18549","17305","10135","648","88","5790","340","2933","219","557","1042","87","612","37","13","4","4","16","607","1244","107","619","149","111","11253","941","292","6568","81","791","18549","1891","1017","59","32","783","16658","18549","1891","992","24","44","36","5","502","288","16658","9143","624","44","5754","32","105","956","18549","18464","7405","3805","5390","4444","770","158","210","1094","28","51","464","85","11","9","2","74","45","29","7405","4983","2808","3805","2119","295","158","883","531","2422","1862","738","181","1124","412","2911","1454","2.49","3.0","7893","7405","488","253","21","37","16","43","118","1.0","6.2","7405","3578","3827","9080","9384","2.54","2.45","0.21834174285","0.00145003228"
"38","0634590","San Jose Unified School District","126949369.0","1703332.0","+37.2697945","-121.8739532","251156","17025","16038","14756","16411","19789","19991","19034","19120","19412","19278","17389","14166","11755","8574","6178","4761","3674","3805","128041","8789","8198","7503","8499","10698","10667","9899","9862","10117","10102","9029","7103","5744","3979","2836","2148","1461","1407","123115","8236","7840","7253","7912","9091","9324","9135","9258","9295","9176","8360","7063","6011","4595","3342","2613","2213","2398","35.7","34.9","36.5","200375","102032","98343","194273","98860","95413","183004","92910","90094","33780","15134","18646","26992","11831","15161","251156","237192","144694","8508","2680","41456","6876","11310","6190","3305","2868","8078","2829","876","167","154","244","311","38978","13964","1436","4894","1046","3230","156551","10674","5144","48275","1942","43681","251156","87206","73450","1480","418","11858","163950","251156","87206","39220","726","1914","793","124","38309","6120","163950","105474","7782","766","40663","752","669","7844","251156","243068","89017","42620","68781","49845","20299","5718","3161","22351","1078","707","6711","8088","1768","1581","187","6320","3607","2713","89017","57958","27732","42620","20476","5043","2183","10295","5073","31059","21984","10451","1973","11533","4591","30549","19793","2.73","3.27","93957","89017","4940","2179","102","1272","195","290","902","2.5","5.1","89017","48650","40367","133601","109467","2.75","2.71","1.44493778093","0.01306961076"
"38.ring1","0634590","San Jose Unified School District","126949369.0","1703332.0","+37.2697945","-121.8739532","251156","17025","16038","14756","16411","19789","19991","19034","19120","19412","19278","17389","14166","11755","8574","6178","4761","3674","3805","128041","8789","8198","7503","8499","10698","10667","9899","9862","10117","10102","9029","7103","5744","3979","2836","2148","1461","1407","123115","8236","7840","7253","7912","9091","9324","9135","9258","9295","9176","8360","7063","6011","4595","3342","2613","2213","2398","35.7","34.9","36.5","200375","102032","98343","194273","98860","95413","183004","92910","90094","33780","15134","18646","26992","11831","15161","251156","237192","144694","8508","2680","41456","6876","11310","6190","3305","2868","8078","2829","876","167","154","244","311","38978","13964","1436","4894","1046","3230","156551","10674","5144","48275","1942","43681","251156","87206","73450","1480","418","11858","163950","251156","87206","39220","726","1914","793","124","38309","6120","163950","105474","7782","766","40663","752","669","7844","251156","243068","89017","42620","68781","49845","20299","5718","3161","22351","1078","707","6711","8088","1768","1581","187","6320","3607","2713","89017","57958","27732","42620","20476","5043","2183","10295","5073","31059","21984","10451","1973","11533","4591","30549","19793","2.73","3.27","93957","89017","4940","2179","102","1272","195","290","902","2.5","5.1","89017","48650","40367","133601","109467","2.75","2.71","1.44493778093","0.01306961076"
"39","0630030","Patterson Joint Unified School District","932235362.0","1463713.0","+37.4680012","-121.3907068","25505","2156","2317","2425","2377","1765","1761","1733","1781","1799","1856","1535","1186","1014","595","424","327","246","208","12976","1139","1161","1287","1257","932","874","859","894","926","980","777","592","486","295","185","141","106","85","12529","1017","1156","1138","1120","833","887","874","887","873","876","758","594","528","300","239","186","140","123","29.9","29.1","30.7","18103","9126","8977","17106","8611","8495","15822","7913","7909","2384","1101","1283","1800","812","988","25505","24128","13114","1362","266","1137","194","115","537","32","32","82","145","301","39","18","119","125","7948","1377","140","252","152","469","14244","1657","497","1553","444","8589","25505","15123","13477","218","10","1418","10382","25505","15123","6073","126","148","72","35","7894","775","10382","7041","1236","118","1065","266","54","602","25505","25406","7141","4351","9725","7084","2867","1167","325","1322","138","51","616","99","0","0","0","99","89","10","7141","5857","3389","4351","2544","620","332","886","513","1284","949","478","106","471","265","3872","1372","3.56","3.89","8095","7141","954","155","11","200","36","180","372","4.1","5.9","7141","4675","2466","15920","9486","3.41","3.85","2.15518457201","0.09507741261"
"40","0601770","Alameda City Unified School District","27261377.0","31983360.0","+37.7644706","-122.2832729","73812","4182","4256","4151","4200","4004","4718","4803","5614","5865","6036","5858","5453","4697","2931","2148","1710","1514","1672","35315","2140","2179","2111","2256","2120","2297","2261","2569","2808","2806","2774","2602","2252","1325","965","724","615","511","38497","2042","2077","2040","1944","1884","2421","2542","3045","3057","3230","3084","2851","2445","1606","1183","986","899","1161","40.7","39.5","41.9","60333","28423","31910","58508","27462","31046","56295","26236","30059","12592","5372","7220","9975","4140","5835","73812","68547","37460","4759","426","23058","793","10636","5419","836","1496","2041","1837","381","77","129","86","89","2463","5265","443","2224","618","410","41810","6149","1397","26240","834","3308","73812","8092","4765","487","158","2682","65720","73812","8092","3992","243","179","236","39","2185","1218","65720","33468","4516","247","22822","342","278","4047","73812","72316","30123","13440","19626","14034","4531","1091","1030","4596","163","286","2140","1496","639","217","422","857","665","192","30123","18291","8484","13440","6099","1228","537","3623","1848","11832","9347","3836","842","5511","2032","9144","7267","2.4","3.06","32351","30123","2228","942","65","164","63","207","787","1.1","5.7","30123","14488","15635","37042","35274","2.56","2.26","0.36597329633","0.00605719609"
