"shapeid","x","y"
"0","-121.94997","37.721029"
"0","-121.950096","37.721004"
"0","-121.950161","37.720987"
"0","-121.950197","37.720981"
"0","-121.950297","37.720961"
"0","-121.950359","37.720948"
"0","-121.950428","37.720938"
"0","-121.950466","37.720927"
"0","-121.951267","37.720748"
"0","-121.953795","37.720183"
"0","-121.95464","37.719997"
"0","-121.954806","37.719959"
"0","-121.955307","37.719847"
"0","-121.955475","37.719811"
"0","-121.956509","37.71958"
"0","-121.959611","37.718887"
"0","-121.960646","37.718657"
"0","-121.96077","37.718629"
"0","-121.963032","37.720543"
"0","-121.97011","37.726531"
"0","-121.97247","37.728528"
"0","-121.972789","37.728708"
"0","-121.973749","37.729248"
"0","-121.97407","37.729428"
"0","-121.974856","37.72948"
"0","-121.975216","37.729504"
"0","-121.976642","37.729449"
"0","-121.977219","37.729477"
"0","-121.977603","37.729497"
"0","-121.977999","37.729579"
"0","-121.9783","37.729642"
"0","-121.978621","37.729716"
"0","-121.979097","37.729827"
"0","-121.97923","37.729859"
"0","-121.980616","37.730305"
"0","-121.982254","37.730713"
"0","-121.98235","37.730725"
"0","-121.983468","37.730864"
"0","-121.984768","37.731416"
"0","-121.98867","37.733075"
"0","-121.989971","37.733628"
"0","-121.993271","37.737728"
"0","-121.993571","37.738128"
"0","-121.994546","37.738245"
"0","-122.001071","37.739028"
"0","-122.005862","37.742789"
"0","-122.011771","37.747428"
"0","-122.011767","37.747488"
"0","-122.011371","37.754028"
"0","-122.011291","37.754172"
"0","-122.011278","37.754198"
"0","-122.011176","37.754383"
"0","-122.010872","37.754941"
"0","-122.010771","37.755127"
"0","-122.007938","37.756891"
"0","-121.999443","37.762184"
"0","-121.997771","37.763227"
"0","-121.998707","37.764222"
"0","-121.998948","37.764478"
"0","-121.99946","37.765023"
"0","-122.001719","37.767426"
"0","-122.002473","37.768228"
"0","-122.004021","37.769885"
"0","-122.004138","37.769983"
"0","-122.004192","37.770027"
"0","-122.004228","37.770058"
"0","-122.00433","37.770143"
"0","-122.004657","37.770433"
"0","-122.004809","37.770571"
"0","-122.010917","37.776938"
